objectType,theta,positionX,positionY,positionZ,objectParameter1,objectParameter2,objectParameter3,objectParameter4
icoSphere,0,-30.0,-30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,0.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,0.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,0.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,0.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,0.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,15.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,30.0,-30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,0.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,0.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,0.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,0.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,0.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,15.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,30.0,-15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,0.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,0.0,0.0,6,0.1,0.1,0.1
icoSphere,0,15.0,0.0,0.0,6,0.1,0.1,0.1
icoSphere,0,30.0,0.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,0.0,15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,15.0,15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,30.0,15.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,0.0,30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,15.0,30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,30.0,30.0,0.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,0.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,0.0,15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,0.0,15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,0.0,15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,0.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,15.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,0.0,30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,15.0,30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,30.0,30.0,15.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,-15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,-15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,-15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,-15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,-15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,0.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,0.0,30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,0.0,30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,0.0,30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,0.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,15.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-30.0,30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,-15.0,30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,0.0,30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,15.0,30.0,30.0,6,0.1,0.1,0.1
icoSphere,0,30.0,30.0,30.0,6,0.1,0.1,0.1
icoSphere,1,0.0,0.0,0.0,9,1.0,1.0,1.0
